Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres,name,keywords,Full Location,latitude,longitude,ARS
Harakiri,1962,1619-1630,1619,1630,Japan,"[28, 18, 36]",14537,ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",16.078,Harakiri,FALSE,8.4,593,"['Action', 'Drama', 'History']","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurō Tamba, Masao Mishima, Ichirô Nakatani, Kei Satō, Yoshio Inaba, Hisashi Igawa, Tōru Takeuchi, Yoshirô Aoki, Tatsuo Matsumura, Akiji Kobayashi, Kôichi Hayashi, Ryûtarô Gomi, Jo Azumi, Nakajirô Tomita, Shichisaburo Amatsu, Kenzô Tanaka, Shin Nakahara, Tsuneo Ikeda, Minoru Miyagi, Takaaki Kadota, Ichiro Yamamoto, Gen Takasugi, Satoshi Nishida, Tetsuro Komiyama, Shûichirô Narita, Noboru Kasuga, Shinpachi Kura, Kenji Hayashi, Shôtarô Hayashi, Shimezo Kataoka, Bunya Ozawa, Konosuke Takemoto, Rentaro Mikuni","japan, suicide, asia, samurai, revenge, flashback, poverty, seppuku, ronin, 17th century, shogunate, japan, suicide, asia, samurai, revenge, flashback, poverty, seppuku, ronin, 17th century, shogunate, japan, suicide, asia, samurai, revenge, flashback, poverty, seppuku, ronin, 17th century, shogunate, japan, suicide, asia, samurai, revenge, flashback, poverty, seppuku, ronin, 17th century, shogunate",日本,36.5748441,139.2394179,29
Shogun's Samurai,1978,1623-1624,1623,1624,Japan,"[28, 18, 12]",34546,ja,"Following the death of the second Tokugawa shogun, it is revealed that he was poisoned by retainers of his son Iemitsu in hopes of gaining him the shogunate despite the stammer and birthmark which undermine his respect. Iemitsu and his brother Tadanaga become bitter rivals for the shogunate, and the land is split into factions, eventually erupting into warfare. Iemitsu's mentor, his fencing instructor Yagyu, is fixated upon securing Iemitsu the shogunate and ends up betraying everyone, even his own family, in pursuit of the goal.",2.649,Shogun's Samurai,FALSE,7.4,28,"['Action', 'Drama', 'Adventure']","Kinnosuke Nakamura, Shin'ichi Chiba, Hiroki Matsukata, Teruhiko Saigô, Reiko Ôhara, Yoshio Harada, Isao Natsuyagi, Mikio Narita, Toshiro Mifune, Hiroyuki Sanada, Etsuko Shihomi, Kentaro Kudo, Jirô Chiba, Hideo Murota, Mayumi Asano, Ichirô Nakatani, Tetsurō Tamba, Etsushi Takahashi, Sanae Nakahara, Nobuo Kaneko, Shinsuke Ashida, Isuzu Yamada, Seizô Fukumoto, Nenji Kobayashi, Harumi Sone, Sen Yano","martial arts, samurai, shogun",日本,36.5748441,139.2394179,40
Day of Wrath,1943,1624,1624,1624,"Salem, Massachusetts","[18, 10749]",41391,da,"In a Danish village in the early 1600s, a young woman named Anne, whose mother was thought to be a witch, develops sympathy toward an old woman, Marte, who is accused of witchcraft. The intervention of Anne's older but kindly husband, Pastor Absalon saved her mother -- but now, urged on by his overbearing mother, he refuses to help Marte. When Absalon's son returns home and is attracted to Anne, it's a matter of time before her family destiny catches up with her.",7.149,Day of Wrath,FALSE,8,154,"['Drama', 'Romance']","Thorkild Roose, Lisbeth Movin, Preben Lerdorff Rye, Sigrid Neiiendam, Anna Svierkier, Albert Høeberg, Olaf Ussing, Preben Neergaard, Kirsten Andreasen, Sigurd Berg, Harald Holst, Emanuel Jørgensen, Sophie Knudsen, Emilie Nielsen, Hans Christian Sørensen, Dagmar Wildenbrück","denmark, pastor, witchcraft, witch hunt, 17th century","Salem, Essex County, Massachusetts, 01970-3980, United States",42.5195292,-70.8967226,2
The Three Musketeers,1973,1625-1673,1625,1673,France,"[28, 12, 16, 10751, 10770]",428181,en,"""The Three Musketeers"" is 1973 animated TV movie from Hanna Barbera that is a remake of their own 1968 cartoon of the same name. In this film, the queen consort of France is falsely accused by Cardinal Richelieu of being involved in a plot to overthrow her husband, the king of France. The king's musketeers, Athos, Porthos, Aramis and a new recruit named D'Artagnan, attempt to solve the situation.",1.4,The Three Musketeers,FALSE,6,3,"['Action', 'Adventure', 'Animation', 'Family', 'TV Movie']","James Condon, Neil Fitzpatrick, Barbara Frawley, Ron Haddrick, Jane Harders, Richard Meikle",,France,46.603354,1.8883335,2
The Three Musketeers,1973,1625-1673,1625,1673,France,"[12, 35, 36]",2926,en,"The young D'Artagnan arrives in Paris with dreams of becoming a king's musketeer. He meets and quarrels with three men, Athos, Porthos, and Aramis, each of whom challenges him to a duel. D'Artagnan finds out they are musketeers and is invited to join them in their efforts to oppose Cardinal Richelieu, who wishes to increase his already considerable power over the king. D'Artagnan must also juggle affairs with the charming Constance Bonancieux and the passionate Lady De Winter, a secret agent for the cardinal.",14.279,The Three Musketeers,FALSE,6.9,203,"['Adventure', 'Comedy', 'History']","Michael York, Oliver Reed, Richard Chamberlain, Frank Finlay, Faye Dunaway, Raquel Welch, Christopher Lee, Geraldine Chaplin, Jean-Pierre Cassel, Spike Milligan, Charlton Heston, Simon Ward, Georges Wilson, Roy Kinnear, Joss Ackland, Sybil Danning, Michael Gothard, Nicole Calfan, Gitty Djamal, Ángel del Pozo, Rodney Bewes, Gretchen Franklin, William Hobbs, Frank Thornton","paris, france, france, based on novel or book, fight, louis xiii, satire, sword fight, musketeer, extramarital affair, swashbuckler, diamond theft, 17th century, paris, france, france, based on novel or book, fight, louis xiii, satire, sword fight, musketeer, extramarital affair, swashbuckler, diamond theft, 17th century",France,46.603354,1.8883335,48
Cardinal Richelieu,1935,1626-1642,1626,1642,France,"[36, 10749, 18]",286402,en,The cunning Cardinal Richelieu must save King Louis XIII from treachery within his inner circle.,1.941,Cardinal Richelieu,FALSE,8.5,2,"['History', 'Romance', 'Drama']","George Arliss, Edward Arnold, Maureen O'Sullivan, Cesar Romero, Violet Kemble Cooper, Katharine Alexander, Halliwell Hobbes, Francis Lister, Lumsden Hare, Keith Hitchcock, Murray Kinnell, Herbert Bunston, Guy Bellis, Boyd Irwin, Leonard Mudie, David Clyde, Charles E. Evans, Reginald Sheffield, Eddie Dunn, William Worthington, Pat Somerset, Leo McCabe, Gilbert Emery, Holmes Herbert, Lionel Belmore, Wilson Benge, John Carradine, Tom Ricketts, Arthur Treacher, David Thursby, Reginald Barlow, Dexter McReynolds, Jack Carlyle, Jack Harvey, Perry Ivins, Raymond Lawrence, Jack Rutherford, Eric Wilton","politics, cardinal",France,46.603354,1.8883335,51
Silence,2016,1630-1638,1630,1638,Japan,"[18, 27, 10402]",645124,xx,"After being discovered trying to escape, a woman must survive the night with her abusive girlfriend.",0.968,Silence,FALSE,0,0,"['Drama', 'Horror', 'Music']","Qyoko Kudo, Tomoko Hayakawa","surreal, lesbian relationship, domestic violence, surreal, lesbian relationship, domestic violence, surreal, lesbian relationship, domestic violence, surreal, lesbian relationship, domestic violence",日本,36.5748441,139.2394179,0
Silence,2016,1630-1638,1630,1638,Japan,[],721047,en,Esther has got what it takes to be really successful in the business district where she applies for a job. Of course she will fit in there! She has the killer instinct and the ambitions of a winner. But she hasn't counted on a stranger who can see behind her mask.,0.6,Silence,FALSE,0,0,[],"Judith Edixhoven, Ian Bok, Oren Schrijver, Claire Schuyffel",,日本,36.5748441,139.2394179,0
Silence,2016,1630-1638,1630,1638,Japan,"[18, 36]",68730,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",26.031,Silence,FALSE,7.1,2482,"['Drama', 'History']","Andrew Garfield, Adam Driver, Liam Neeson, Yosuke Kubozuka, Tadanobu Asano, Issey Ogata, Shinya Tsukamoto, Ryo Kase, Nana Komatsu, Yoshi Oida, Ciarán Hinds, Béla Baptiste, Michié, Katsuo Nakamura, Motokatsu Suzuki, Yasushi Takada, Ten Miyazawa, Kaoru Endô, Diego Calderón, Shi Liang, Miho Harita, Hairi Katagiri, Hiroko Isayama, Yutaka Mishima, Yoriko Douguchi, Kansai Eto, Shun Sugata, Hako Ohshima, Hideki Nishioka, Nobuaki Fukuda, Munetaka Aoki, Tetsu Watanabe, Yoshihiro Takayama, Asuka Kurosawa, SABU, Yuri Ishizaka, Ryo Sato","christianity, japan, missionary, based on novel or book, betrayal, torture, martyrdom, crisis of faith, portuguese, 17th century, shogunate, jesuit priest, religious persecution, religious icon, apostasy, christianity, japan, missionary, based on novel or book, betrayal, torture, martyrdom, crisis of faith, portuguese, 17th century, shogunate, jesuit priest, religious persecution, religious icon, apostasy, christianity, japan, missionary, based on novel or book, betrayal, torture, martyrdom, crisis of faith, portuguese, 17th century, shogunate, jesuit priest, religious persecution, religious icon, apostasy, christianity, japan, missionary, based on novel or book, betrayal, torture, martyrdom, crisis of faith, portuguese, 17th century, shogunate, jesuit priest, religious persecution, religious icon, apostasy",日本,36.5748441,139.2394179,16
Queen Christina,1933,1632-1654,1632,1654,Sweden,"[18, 36, 10749]",31526,en,"Queen Christina of Sweden is a popular monarch who is loyal to her country. However, when she falls in love with a Spanish envoy, she must choose between the throne and the man she loves.",5.689,Queen Christina,FALSE,7,82,"['Drama', 'History', 'Romance']","Greta Garbo, John Gilbert, Ian Keith, Lewis Stone, Elizabeth Young, C. Aubrey Smith, Reginald Owen, David Torrence, Gustav von Seyffertitz, Georges Renavent, Ferdinand Munier, Richard Alexander, Hooper Atchley, Barbara Barondess, Wade Boteler, James Burke, Gladden James, Frank McGlynn Jr., Cora Sue Collins, Carrie Daumery, Muriel Evans, Edward Gargan, Paul Hurst, Lawrence Grant, Sam Harris, Fred Kohler, Edward Norris, Bodil Rosing, Tiny Sandford, C. Montague Shaw, Akim Tamiroff","sweden, ambassador, queen, forbidden love, duty, biography, peace, female protagonist, mobster, royal court, pre-code, inn, 17th century",Sverige,59.6749712,14.5208584,48
The Devils,1971,1634,1634,1634,France,"[18, 36]",31767,en,"In 17th-century France, Father Urbain Grandier seeks to protect the city of Loudun from the corrupt establishment of Cardinal Richelieu. Hysteria occurs within the city when he is accused of witchcraft by a sexually repressed nun.",9.635,The Devils,FALSE,7.4,256,"['Drama', 'History']","Vanessa Redgrave, Oliver Reed, Dudley Sutton, Max Adrian, Gemma Jones, Murray Melvin, Michael Gothard, Georgina Hale, Brian Murphy, Christopher Logue, Graham Armitage, John Woodvine, Andrew Faulds, Kenneth Colley, Judith Paris, Catherine Willmer, Iza Teller, Tony Allen, Niké Arrighi, Pat Ashton, Peter Avella, Imogen Claire, Barbie Denham, Hugh Elton, Harry Fielder, Selina Gilbert, Cheryl Grunwald, Charles Price, Charles Rayford, Jack Sharp, Tina Simmons, Doremy Vernon","christianity, inquisition, nun, exploitation, hysteria, biography, louis xiii, satire, based on true story, controversy, surrealism, priest, torture, historical, cult film, catholic church, blasphemy, convent (nunnery)",France,46.603354,1.8883335,33
Black Robe,1991,1634,1634,1634,wendake,"[12, 18, 36]",41784,en,"Missionary Father LaForgue travels to the New World in hopes of converting Algonquin Indians to Catholicism. Accepted, though warily, by the Indians, LaForgue travels with the Indians using his strict Catholic rules and ideals to try and impose his religion.",8.452,Black Robe,FALSE,6.7,67,"['Adventure', 'Drama', 'History']","Lothaire Bluteau, Sandrine Holt, August Schellenberg, Tantoo Cardinal, Lawrence Bayne, Aden Young, Billy Two Rivers, Harrison Liu, Wesley Côté, Frank Wilson, François Tassé, Jean Brousseau, Yvan Labelle, Raoul Max Trujillo, James Bobbish, Denis Lacroix, Gilles Plante, Gordon Tootoosis, Marthe Turgeon, Claude Préfontaine, Deano Clavet, Jean-Raymond Châles, Paul Stewart, Jean-Jacques Blanchet, Marco Baron, Patrick Tenassco, George Pachanos, Minor Mustain, Don Brisebois, Jean Raphael, Guy Provencher, Joe De Laronde, Linlyn Lue, Bonfield Marcoux, Wanda Obomsawin, Jean-Pierre Pérusse, Gérard Soler, Alison Reid, Brenda Adams, Denis Plante, Daniel Thonon, Cordelia Beresford, Annie Bearskin, Doreen Stevens, Joseph Campeau, Eric Johnston, Mirya Obomsawin, Zoe Leigh Hopkins, Rodrigue Boivin, Irvin Hill, Valerie Decontie, Waylon Hare, Robert Wylde, Walter Jacobs, Helen Bobish Atkinson, John Tenasco, Jonathan Blacksmith, Earl Danyluk, Arnold Eyah-Saulteux","quebec, wilderness, native american, journey, jesuit, 17th century, algonquin indian","Wendake, La Haute-Saint-Charles, Wendake, Communautés autochtones, Capitale-Nationale, Québec, G0A 4V0, Canada",46.8682022,-71.363105,9
War of the Arrows,2011,1636-7,1636,1636,Korea,"[18, 28, 36, 53]",79224,ko,"13 years after the King Injo Revolt, the Chosun Dynasty is attacked by the Chung Dynasty of China. A young man named Na-mi leaves his demolished village to find his young sister, Ja-in, and her finance Su-koon, who were to wed on the very day of the attack. While on his mission to rescue her, he is being traced by Jushinta, a fierce Chung Warrior, and his band of malicious men who are out to stop him. Na-mi has but a day to rescue his sister before she is taken away to be a slave. When Na-mi finally finds his sister, Jushinta comes between them and a fierce battle between two of the finest warriors unfolds.",33.278,War of the Arrows,FALSE,7.1,187,"['Drama', 'Action', 'History', 'Thriller']","Park Hae-il, Moon Chae-won, Kim Moo-yul, Ryu Seung-ryong, Park Ki-woong, Ryohei Otani, Lee Da-wit, Lee Han-wi, Park No-shik, Lee Kyung-young, Lee Seung-joon, Park Myung-shin, Jo Woo-jin, Kang Gyu-Young","archer, arrow, bow and arrow, archery, 17th century, joseon dynasty, chinese invasion of korea",대한민국,36.638392,127.6961188,13
The Fortress,2017,1636,1636,1636,Korea,"[10752, 18, 36, 28]",437081,ko,"Ancient Korea, 17th century. The powerful Khan of the Jurchen tribe of Manchuria, who fights the Ming dinasty to gain China, becomes the first ruler of the Qing dinasty and demands from King In-jo of Joseon to bow before him; but he refuses, being loyal to the Mings. On December 14th, 1636, the Qing horde invades Joseon, so King In-jo and his court shelter in the mountain fortress of Namhan and prepare to defend the kingdom.",9.09,The Fortress,FALSE,6.7,84,"['War', 'Drama', 'History', 'Action']","Lee Byung-hun, Kim Yoon-seok, Park Hae-il, Go Soo, Park Hee-soon, Song Young-chang, Jo Woo-jin, Lee Da-wit, Heo Sung-tae, Kim Pub-lae, Jo A-in, Jin Sun-kyu, Yoo Soon-woong, Park Ji-Il, Choi Jong-ryul, Moon Chang-gil, Cho Ah-in, Lee Jang-yoo, Kim Seo-hyeon","based on novel or book, based on true story, 17th century, joseon dynasty, qing dynasty, korean history, chinese invasion of korea, mountain fortress",대한민국,36.638392,127.6961188,8
Samurai Reincarnation,1981,1637-1638,1637,1638,Japan,"[28, 14, 27]",74289,ja,"After surviving the slaughter of many Christians 350 years ago, a samurai denounces God for ignoring the pleas of believers. He sells his soul to Satan and receives the power to resurrect the dead to join him in a murderous rampage.",6.73,Samurai Reincarnation,FALSE,5.9,19,"['Action', 'Fantasy', 'Horror']","Shin'ichi Chiba, Kenji Sawada, Akiko Kana, Hiroyuki Sanada, Ai Kanzaki, Hideo Murota, Noboru Matsuhashi, Naoko Kubo, Mikio Narita, Hiroshi Inuzuka, Asao Uchida, Jun Oba, Masataka Naruse, Etsuo Shima, Yûko Asuka, Jun Hamamura, Noboru Mitani, Aoi Nakajima, Mizuho Suzuki, Tetsurō Tamba, Masataka Iwao, Kinji Nakamura, Genji Kawai, Gôzô Sôma, Masaharu Arikawa, Yasuhiro Suzuki, Katsutoshi Akiyama, Takashi Noguchi, Sen Okaji, Kojirô Kawanami, Chû Takatsuki, Takeshige Hatanaka, Noboru Umezawa, Akira Akabane, Kojiro Shirakawa, Ryuko Azuma, Mineko Maruhira, Tankurô, Shigeki Nakajima, Kayoko Shiraishi, Carlotta Ikeda, Ken Ogata, Tomisaburō Wakayama","samurai, undead",日本,36.5748441,139.2394179,29
Silence,1971,1638,1638,1638,Japan,"[18, 36]",92670,ja,Two Jesuit priests encounter persecution when they travel to Japan in the 17th century to spread Christianity and search for their mentor.,4.446,Silence,FALSE,7,26,"['Drama', 'History']","Don Kenny, David Lampson, Mako, Noboru Matsuhashi, Shima Iwashita, Tetsurō Tamba, Eiji Okada, Yoshi Katō, Rokkō Toura, Junshi Shimada, Yoshiko Mita, Taiji Tonoyama, Yasunori Irikawa, Tomo'o Nagai, Kappei Matsumoto, Yoshio Inaba, Yûsuke Takita, Kikue Mōri","christianity, based on novel or book, jesuit, 17th century, religious persecution, christianity, based on novel or book, jesuit, 17th century, religious persecution, christianity, based on novel or book, jesuit, 17th century, religious persecution",日本,36.5748441,139.2394179,29
Witchfinder General,1968,1640,1640,1640,England,"[18, 36, 27]",31965,en,"England, 1645. The cruel civil war between Royalists and Parliamentarians that is ravaging the country causes an era of chaos and legal arbitrariness that allows unscrupulous men to profit by exploiting the absurd superstitions of the peasants; like Matthew Hopkins, a monster disguised as a man who wanders from town to town offering his services as a witch hunter.",10.081,Witchfinder General,FALSE,6.5,155,"['Drama', 'History', 'Horror']","Vincent Price, Ian Ogilvy, Rupert Davies, Hilary Dwyer, Robert Russell, Nicky Henson, Tony Selby, Bernard Kay, Patrick Wymark, Wilfrid Brambell, Michael Beint, Beaufoy Milton, John Trenaman, Bill Maxwell, Peter Thomas, Maggie Kimberly, Dennis Thorne, Anne Tirard, Gillian Aldam, Hira Talfrey, Jack Lynn, Michael Segal, David Webb, Sally Douglas, Edward Palmer, Lee Peters, Peter Haigh, Godfrey James, Margaret Nolan, Philip Waddilove, Toby Lenon, Paul Ferris, David Lyell, Alf Joint, Martin Terry, Derek Ware, John Kidd, Susi Field, Donna Reading","based on novel or book, witch burning, false accusations, religious fanaticism, witch hunt, english civil war, 17th century, folk horror, suffolk, england","England, United Kingdom",52.5310214,-1.2649062,12
Cromwell,1970,1640-1653,1640,1653,England,"[18, 36]",31675,en,"Disgusted with the policies of King Charles I, Oliver Cromwell plans to take his family to the New World. But on the eve of their departure, Cromwell is drawn into the tangled web of religion and politics that will result in the English Civil War.",9.092,Cromwell,FALSE,6.5,61,"['Drama', 'History']","Richard Harris, Alec Guinness, Robert Morley, Dorothy Tutin, Frank Finlay, Timothy Dalton, Patrick Wymark, Patrick Magee, Nigel Stock, Patrick Holt, Charles Gray, Michael Jayston, Michael Goodliffe, Jack Gwillim, Richard Cornish, Anna Cropper, George Merritt, Basil Henson, Stratford Johns, Geoffrey Keen, Anthony May, Ian McCulloch, Robin Stewart, Zena Walker, Douglas Wilmer, John Welsh, Anthony Kemp, Stacy Dorning, Mel Churcher","biography, parliament, based on true story, religion, king, english civil war, tyranny, 17th century, king charles i, battle scene","England, United Kingdom",52.5310214,-1.2649062,58
Barbara,1997,1640,1640,1640,Faroe Islands,"[10749, 18]",155714,da,"Young vicar Mr. Paul arrives at the Faroe Islands to take up a benefice, and meets the young Barbara, twice married to vicars, and with both husbands laid cold in the grave. Despite the warnings of the surrounding community and his own religious scruples, he falls victim to Barbara's at once innocent and sinful charm. The appearance of the charming and gallant Andreas Heide in Thorshavn puts their love to the severest of tests.",3.353,Barbara,FALSE,5.6,7,"['Romance', 'Drama']","Anneke von der Lippe, Lars Simonsen, Trond Høvik, Jesper Christensen, Jens Okking, Ove Sprogøe, Ove Petersen, Peter Hesse Overgaard, Helene Egelund, Jytte Kvinesdal, Peter Reichhardt, Henny Moan, Høgni Johansen, Marco Bisson, Henning Jensen, Antinus Joensen, Bodil Udsen, Daniel Ceccaldi, Erling Eysturoy, Birgitte Federspiel, Adelborg Linklett, Pol Joensen, Gunnvør Nolsøe, Aksel Rasmussen, Ingaluw P. Hansen, Hanus Johansen, Hans Jákup Hansen","based on novel or book, love",Føroyar,62.0448724,-7.0322972,6
A Field in England,2013,1640,1640,1640,England,"[18, 36, 27, 53, 35, 12]",179111,en,"During the Civil War in 17th-Century England, a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist, who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle, which provides their first meal, the group quickly descend into a chaos of arguments, fighting and paranoia, and, as it becomes clear that the treasure might be something other than gold, they slowly become victim to the terrifying energies trapped inside the field.",8.948,A Field in England,FALSE,6.3,183,"['Drama', 'History', 'Horror', 'Thriller', 'Comedy', 'Adventure']","Reece Shearsmith, Michael Smiley, Julian Barratt, Richard Glover, Ryan Pope, Peter Ferdinando, Sara Dee, Laura Obiols","madness, ghost, english civil war, 17th century, folk horror","England, United Kingdom",52.5310214,-1.2649062,4
Admiral,2015,1640-1650,1640,1650,Netherlands,"[12, 18, 36]",277154,nl,"When the young republic of The Netherlands is attacked by England, France and Germany and faces its own civil war no less, only one man, Michael de Ruyter, can lead the county's strongest weapon, the Dutch fleet.",10.661,Admiral,FALSE,6.4,135,"['Adventure', 'Drama', 'History']","Frank Lammers, Sanne Langelaar, Rutger Hauer, Aurélie Meriel, Charles Dance, Filip Peeters, Derek de Lint, Barry Atsma, Daniel Brocklebank, Tygo Gernandt, Egbert Jan Weeber, Nils Verkooijen, Gène Bervoets, Lieke van Lexmond, Ella-June Henrard, Victor Löw, Jules Croiset, Lukas Dijkema, Roeland Fernhout, Viv Weatherall, Colin Mace, Jelle de Jong, Axel Daeseleire, Pip Pellens, Hajo Bruins, René van Asten, Joost Koning, Michael Nierse, Bas van Prooijen, Rein Hofman, Jada Borsato, David Corbett, Thedo Keizer, Youval Kuipers, Robbert Blokland","civil war, 17th century, gay",Nederland,52.15517,5.38721,20
Fall of Ming,2013,1368-1644,1642,1644,China,"[18, 36]",244971,zh,,4.358,Fall of Ming,FALSE,5.9,10,"['Drama', 'History']","Feng Yuanzheng, Leon Dai, Feng Bo, Si Yuan, Qian Xuege, Ma Jingwu, Hu Xiao-Guang",woman director,中国,35.000074,104.999927,4
Brotherhood of Blades,2014,1368-1644,1642,1644,China,"[10749, 28, 18]",291692,zh,"In the late Ming Dynasty, three sworn brothers who serve as the imperial secret police are dispatched to hunt down Wei Zhongxian, a eunuch politician who had been forced to resign from his influential post and exiled from Beijing. The brothers return successfully from their quest, only to find that their task was but the beginning of a strange conspiracy.",12.055,Brotherhood of Blades,FALSE,6.6,101,"['Romance', 'Action', 'Drama']","Chang Chen, Wang Qian-Yuan, Liu Shishi, Li Dongxue, Chin Shih-Chieh, Nie Yuan, Zhou Yiwei, Zhu Dan, Ye Qing, Yang Xiaobo, Yi Yang, Zhang Zhenlei",,中国,35.000074,104.999927,10
Alatriste,2006,1643,1643,1643,Spain,[28],13495,es,"In 17th century Spain Diego Alatriste, a brave and heroic soldier, is fighting in his King's army in the Flandes region. His best mate, Balboa, falls in a trap and, near to death, asks Diego to look after his son and teach him to be a soldier.",10.412,Alatriste,FALSE,5.7,182,['Action'],"Viggo Mortensen, Elena Anaya, Unax Ugalde, Eduard Fernández, Eduardo Noriega, Ariadna Gil, Juan Echanove, Javier Cámara, Antonio Dechent, Blanca Portillo, Francesc Garrido, Pilar López de Ayala, Jesús Castejón, Cristina Marcos, Luis Zahera, Carlos Bardem",17th century,España,39.3260685,-4.8379791,0
The Libertine,2004,1647-1680,1647,1680,France,"[18, 10749]",7548,en,"The story of John Wilmot, a.k.a. the Earl of Rochester, a 17th century poet who famously drank and debauched his way to an early grave, only to earn posthumous critical acclaim for his life's work.",13.12,The Libertine,FALSE,5.9,380,"['Drama', 'Romance']","Johnny Depp, Samantha Morton, John Malkovich, Rosamund Pike, Paul Ritter, Stanley Townsend, Francesca Annis, Tom Hollander, Johnny Vegas, Richard Coyle, Tom Burke, Hugh Sachs, Rupert Friend, Kelly Reilly, Jack Davenport, Trudi Jackson, Cara Horgan, Clare Higgins, Jake Curran, Kevin Doyle, Paul Chahidi, T. P. McKenna","london, england, dying and death, poet, monologue, monkey, alcoholic, libertine, syphilis, 17th century",France,46.603354,1.8883335,33
With Fire and Sword,1999,1648-1654,1648,1654,Ukraine,"[12, 18, 36]",31273,pl,"In the mid-17th century, Poland was the largest, most democratic, and most tolerant country in Europe. However, a tragic civil war brought about the gradual decline of the once glorious republic...",4.939,With Fire and Sword,FALSE,6.9,63,"['Adventure', 'Drama', 'History']","Izabella Scorupco, Alexandr Domogarov, Michal Zebrowski, Krzysztof Kowalewski, Bogdan Stupka, Andrzej Seweryn, Zbigniew Zamachowski, Wiktor Zborowski, Wojciech Malajkat, Ewa Wiśniewska, Ruslana Pysanka, Daniel Olbrychski, Marek Kondrat, Gustaw Holoubek, Andrzej Kopiczyński, Maciej Kozłowski, Adam Ferency, Gustaw Lutkiewicz, Jerzy Bończak, Joanna Brodzik, Marek Cichucki, Rafał Cieszyński, Włodzimierz Brodecki, Jerzy Cnota, Maciej Czapski, Lech Dyblik, Marek Frąckowiak, Krzysztof Gosztyła, Andrzej Grąziewicz, Jerzy Karaszkiewicz, Paweł Kleszcz, Szymon Kobyliński, Krzysztof Kołbasiuk, Bernard Ładysz, Anna Majcher, Andrzej Pieczyński, Eugeniusz Priwieziencew, Stefan Szmidt, Przemysław Tejkowski, Leszek Teleszyński, Aleksander Wysocki, Janusz Zerbst, Andrzej Żółkiewski, Aleksander Pociej, Tomasz Konieczny, Janusz Sieniawski, Michał Chorosiński, Jerzy Braszka, Dariusz Gnatowski, Andrzej Grabowski, Jan Jurewicz, Czesław Lasota, Bartosz Obuchowicz, Juliusz Krzysztof Warunek, Robert Więckiewicz, Tomasz Bednarek, Olga Miłaszewska, Jacek Rozenek",,Україна,49.4871968,31.2718321,12
To Kill a King,2003,1648-1658,1648,1658,England,"[18, 28, 12]",18359,en,"A recounting of the relationship between General Fairfax and Oliver Cromwell, as they try to cope with the consequences of deposing King Charles I.",4.644,To Kill a King,FALSE,5.8,42,"['Drama', 'Action', 'Adventure']","Tim Roth, Dougray Scott, Olivia Williams, James Bolam, Corin Redgrave, Finbar Lynch, Julian Rhind-Tutt, Adrian Scarborough, Jeremy Swift, Rupert Everett, Steven Webb, Jake Nightingale, Leonard Woodcock, Thomas Arnold, Sam Spruell, Julian Rivett, Richard Bremmer, Melissa Knatchbull, Patricia Kerrigan, John-Paul Macleod, Jonathan Coy, Mary Roscoe, Liam McKenna, Louise Breckon-Richards, Oliver Fox, Neil Howman, Benedict Cumberbatch, Iain Rogerson, Andrew Cryer, Robert Sterne, James Puddephatt, Arthur Cox, Bruno Lastra, Ella Barker","battlefield, torture, english civil war, 17th century, king charles i","England, United Kingdom",52.5310214,-1.2649062,35
